uniprot,symbol,entrez
P05107,ITGB2,3689
P63244,GNB2L1,10399
O15530,PDPK1,5170
Q8IX03,WWC1,23286
Q99819,ARHGDIG,398
Q9Y5K6,CD2AP,23607
Q15276,RABEP1,9135
Q8TB24,RIN3,79890
O00522,KRIT1,889
O15211,RGL2,5863
Q8IYI6,EXOC8,149371
P51587,BRCA2,675
Q06609,RAD51,5888
Q14565,DMC1,11144
O60381,HBP1,26959
Q9NY61,AATF,26574
P19793,RXRA,6256
P16157,ANK1,286
P25791,LMO2,4005
P17542,TAL1,6886
Q9HAU5,UPF2,26019
P05386,RPLP1,6176
P05387,RPLP2,6181
Q15438,CYTH1,9267
O95985,TOP3B,8940
P09012,SNRPA,6626
Q5T2W1,PDZK1,5174
P48436,SOX9,6662
Q13285,NR5A1,2516
P10909,CLU,1191
O14795,UNC13B,10497
P26842,CD27,939
P62942,FKBP1A,2280
P25490,YY1,7528
P26885,FKBP2,2286
Q13402,MYO7A,4647
O15273,TCAP,8557
O00213,APBB1,322
Q03701,CEBPZ,10153
P37275,ZEB1,6935
Q99608,NDN,4692
Q13315,ATM,472
P04629,NTRK1,4914
Q96JZ2,HSH2D,84941
P12931,SRC,6714
P36897,TGFBR1,7046
P63316,TNNC1,7134
P21580,TNFAIP3,7128
P04637,TP53,7157
P19438,TNFRSF1A,7132
Q16832,DDR2,4921
P12830,CDH1,999
P56199,ITGA1,3672
P13612,ITGA4,3676
Q01543,FLI1,2313
P40337,VHL,7428
P18887,XRCC1,7515
P17028,ZNF24,7572
P21506,ZNF10,7556
Q9UP83,COG5,10466
P23025,XPA,7507
Q01831,XPC,7508
P51610,HCFC1,3054
P50052,AGTR2,186
Q96S59,RANBP9,10048
P23246,SFPQ,6421
P51813,BMX,660
Q99966,CITED1,4435
Q16650,TBR1,10716
P41134,ID1,3397
P98164,LRP2,4036
Q15303,ERBB4,2066
P62166,NCS1,23413
O15085,ARHGEF11,9826
Q6ZN44,UNC5A,90249
P42704,LRPPRC,10128
P45973,CBX5,23468
Q05086,UBE3A,7337
P51151,RAB9A,9367
P56545,CTBP2,1488
Q9BZI7,UPF3B,65109
Q9H4D5,NXF3,56000
Q99741,CDC6,990
O60220,TIMM8A,1678
Q99963,SH3GL3,6457
Q9Y4J8,DTNA,1837
Q9NQX3,GPHN,10243
O60828,PQBP1,10084
P15976,GATA1,2623
P00451,F8,2157
O60880,SH2D1A,4068
Q06787,FMR1,2332
P51114,FXR1,8087
P26038,MSN,4478
P10398,ARAF,369
P36507,MAP2K2,5605
P09884,POLA1,5422
Q92834,RPGR,6103
P28335,HTR2C,3358
P08247,SYP,6855
P21675,TAF1,6872
O14599,BPY2,9083
Q9BX66,SORBS1,10580
Q8IY57,YAF2,10138
Q13185,CBX3,11335
Q9UPT6,MAPK8IP3,23162
Q07817,BCL2L1,598
Q07812,BAX,581
O95477,ABCA1,19
Q9H9E1,ANKRA2,57763
Q15543,TAF13,6884
Q05209,PTPN12,5782
Q9NNX1,TUFT1,7286
Q5VU43,PDE4DIP,9659
Q10567,AP1B1,162
Q96SB3,PPP1R9B,84687
P52333,JAK3,3718
P63241,EIF5A,1984
Q9Y3E5,PTRH2,51651
Q04724,TLE1,7088
P40189,IL6ST,3572
Q12929,EPS8,2059
P49327,FASN,2194
P49454,CENPF,1063
Q92900,UPF1,5976
Q9UMS0,NFU1,27247
Q16513,PKN2,5586
Q99569,PKP4,8502
P54253,ATXN1,6310
Q9Y5Y5,PEX16,9409
Q15649,ZNHIT3,9326
P41252,IARS,3376
O43464,HTRA2,27429
Q9Y6W6,DUSP10,11221
Q96RK4,BBS4,585
P56945,BCAR1,9564
Q9BWF2,TRAIP,10293
P33240,CSTF2,1478
Q05048,CSTF1,1477
O43543,XRCC2,7516
O60682,MSC,9242
Q02363,ID2,3398
P15884,TCF4,6925
O00623,PEX12,5193
Q92968,PEX13,5194
P53365,ARFIP2,23647
P52298,NCBP2,22916
Q6P1K2,PMF1,11243
Q9NZJ5,EIF2AK3,9451
P78352,DLG4,1742
P16333,NCK1,4690
Q8N4C8,MINK1,50488
P46063,RECQL,5965
O75925,PIAS1,8554
P49137,MAPKAPK2,9261
P25815,S100P,6286
Q9HBG7,LY9,4063
P26599,PTBP1,5725
P80217,IFI35,3430
Q92777,SYN2,6854
Q15361,TTF1,7270
P46527,CDKN1B,1027
O15357,INPPL1,3636
Q9Y618,NCOR2,9612
P49918,CDKN1C,1028
Q16739,UGCG,7357
P50454,SERPINH1,871
Q13562,NEUROD1,4760
P53618,COPB1,1315
Q9UM54,MYO6,4646
Q9NPI6,DCP1A,55802
Q12830,BPTF,2186
Q9Y624,F11R,50848
P78536,ADAM17,6868
Q9UMX3,BOK,666
Q16548,BCL2A1,597
P62312,LSM6,11157
Q9BY67,CADM1,23705
Q6UVK1,CSPG4,1464
P62826,RAN,5901
O75419,CDC45,8318
Q9UMX0,UBQLN1,29979
P26006,ITGA3,3675
O00499,BIN1,274
P36894,BMPR1A,657
Q14103,HNRNPD,3184
Q76N89,HECW1,23072
Q8NEZ2,VPS37A,137492
Q92993,KAT5,10524
P10244,MYBL2,4605
Q9HB71,CACYBP,27101
Q13257,MAD2L1,4085
P37231,PPARG,5468
Q99933,BAG1,573
O75807,PPP1R15A,23645
Q13322,GRB10,2887
Q92786,PROX1,5629
Q15910,EZH2,2146
Q07666,KHDRBS1,10657
Q92963,RIT1,6016
O14807,MRAS,22808
P06401,PGR,5241
P54725,RAD23A,5886
P54727,RAD23B,5887
P10828,THRB,7068
Q5T1R4,HIVEP3,59269
Q9UBF6,RNF7,9616
Q13263,TRIM28,10155
O00628,PEX7,5191
Q02447,SP3,6670
Q14566,MCM6,4175
O00287,RFXAP,5994
Q92843,BCL2L2,599
Q9UGK3,STAP2,55620
Q5RKV6,EXOSC6,118460
Q8IU60,DCP2,167227
Q14005,IL16,3603
Q06587,RING1,6015
P63000,RAC1,5879
P15153,RAC2,5880
Q8NER1,TRPV1,7442
O75410,TACC1,6867
O14744,PRMT5,10419
Q8IUQ4,SIAH1,6477
Q86TG7,PEG10,23089
O15265,ATXN7,6314
P46934,NEDD4,4734
Q9UNY4,TTF2,8458
Q13418,ILK,3611
P50570,DNM2,1785
Q13867,BLMH,642
Q14738,PPP2R5D,5528
P13569,CFTR,1080
Q14493,SLBP,7884
O15126,SCAMP1,9522
Q8WWN9,IPCEF1,26034
P48552,NRIP1,8204
O94992,HEXIM1,10614
P49798,RGS4,5999
Q99759,MAP3K3,4215
O00161,SNAP23,8773
Q9H6Z4,RANBP3,8498
Q08379,GOLGA2,2801
P61326,MAGOH,4116
Q9UHC3,ASIC3,9311
Q9NPH3,IL1RAP,3556
Q14192,FHL2,2274
Q12972,PPP1R8,5511
Q13017,ARHGAP5,394
Q99729,HNRNPAB,3182
Q96RI1,NR1H4,9971
Q99767,APBA2,321
O15117,FYB,2533
Q9Y478,PRKAB1,5564
O43741,PRKAB2,5565
P54619,PRKAG1,5571
Q99666,RGPD5,84220
Q9Y6K1,DNMT3A,1788
P78317,RNF4,6047
O60437,PPL,5493
Q15424,SAFB,6294
P53779,MAPK10,5602
Q15759,MAPK11,5600
Q15654,TRIP6,7205
P50458,LHX2,9355
O75461,E2F6,1876
P56282,POLE2,5427
P62324,BTG1,694
Q9NWF9,RNF216,54476
Q8N8S7,ENAH,55740
O15431,SLC31A1,1317
Q16629,SRSF7,6432
O75319,DUSP11,8446
Q14511,NEDD9,4739
Q9UQ35,SRRM2,23524
Q07820,MCL1,4170
Q9UER7,DAXX,1616
P53602,MVD,4597
O15360,FANCA,2175
Q14155,ARHGEF7,8874
Q96RU3,FNBP1,23048
O15392,BIRC5,332
Q93038,TNFRSF25,8718
Q9Y572,RIPK3,11035
Q9UDY8,MALT1,10892
Q96LW7,C9orf89,84270
P61966,AP1S1,1174
P56377,AP1S2,8905
O75379,VAMP4,8674
Q9UBB5,MBD2,8932
Q8WWY6,MBD3L1,85509
O94941,UBOX5,22888
Q14526,HIC1,3090
Q13113,PDZK1IP1,10158
O00429,DNM1L,10059
P51159,RAB27A,5873
P49758,RGS6,9628
Q15697,ZNF174,7727
Q9Y6A5,TACC3,10460
Q9Y2L1,DIS3,22894
Q00722,PLCB2,5330
Q92730,RND1,27289
Q9Y678,COPG1,22820
A5D8V6,VPS37C,55048
Q14344,GNA13,10672
O75791,GRAP2,9402
Q9UJX4,ANAPC5,51433
P38570,ITGAE,3682
O60784,TOM1,10043
O75716,STK16,8576
Q9Y2A7,NCKAP1,10787
O95257,GADD45G,10912
Q9UNF0,PACSIN2,11252
P48048,KCNJ1,3758
Q9H1J1,UPF3A,65110
P41271,NBL1,4681
Q15633,TARBP2,6895
Q15075,EEA1,8411
O94763,URI1,8725
Q969H4,CNKSR1,10256
Q9UKK3,PARP4,143
Q5TD97,FHL5,9457
O75530,EED,8726
Q9NRI5,DISC1,27185
Q9Y5X1,SNX9,51429
Q86YS3,RAB11FIP4,84440
Q9UDY6,TRIM10,10107
P17081,RHOQ,23433
P30039,PBLD,64081
Q9H0D6,XRN2,22803
Q9P2A4,ABI3,51225
Q96BK5,PINX1,54984
Q13162,PRDX4,10549
Q9BY11,PACSIN1,29993
Q9H3M7,TXNIP,10628
O95196,CSPG5,10675
Q9ULU4,ZMYND8,23613
O94829,IPO13,9670
Q9NQ66,PLCB1,23236
Q86WC4,OSTM1,28962
Q9Y5N6,ORC6,23594
Q9UPM8,AP4E1,23431
Q9BS16,CENPK,64105
Q9Y333,LSM2,57819
O43918,AIRE,326
Q9H8V3,ECT2,1894
Q9UJY1,HSPB8,26353
Q9P2T0,THEG,51298
Q13136,PPFIA1,8500
O60506,SYNCRIP,10492
P10276,RARA,5914
Q9BV79,MECR,51102
Q92890,UFD1L,7353
Q96RU7,TRIB3,57761
O95453,PARN,5073
Q9NQT4,EXOSC5,56915
Q99684,GFI1,2672
Q96RS0,TGS1,96764
Q99417,MYCBP,26292
Q08397,LOXL1,4016
P02795,MT2A,4502
Q13976,PRKG1,5592
Q9Y3C5,RNF11,26994
Q9UJ96,KCNG2,26251
Q92813,DIO2,1734
P63279,UBE2I,7329
Q9NS56,TOPORS,10210
O15534,PER1,5187
O15055,PER2,8864
O00327,ARNTL,406
Q9NVV9,THAP1,55145
Q8NC51,SERBP1,26135
Q00613,HSF1,3297
O60941,DTNB,1838
P33991,MCM4,4173
P24864,CCNE1,898
P42261,GRIA1,2890
O15018,PDZD2,23037
P63218,GNG5,2787
P50150,GNG4,2786
P63215,GNG3,2785
O14775,GNB5,10681
Q9H0F7,ARL6,84100
Q9Y2I7,PIKFYVE,200576
Q99523,SORT1,6272
Q96IT1,ZNF496,84838
Q8TB72,PUM2,23369
O15160,POLR1C,9533
Q96EY1,DNAJA3,9093
Q8NF91,SYNE1,23345
Q9UNL4,ING4,51147
Q96NW7,LRRC7,57554
Q9NV44|Q8TDR4,TCP10L,140290
O77932,DXO,1797
Q9UKY1,ZHX1,11244
O15511,ARPC5,10092
Q9GZT8,NIF3L1,60491
Q9NZ52,GGA3,23163
Q96KR7,PHACTR3,116154
Q8NFD5,ARID1B,57492
O94906,PRPF6,24148
O15083,ERC2,26059
Q9UI08,EVL,51466
Q9P0L9,PKD2L1,9033
Q59H18,TNNI3K,51086
O94921,CDK14,5218
Q9UKI8,TLK1,9874
Q86SG2,ANKRD23,200539
Q7Z5G4,GOLGA7,51125
Q9BYE9,CDHR2,54825
Q99942,RNF5,6048
P49842,STK19,8859
P18615,NELFE,7936
O00299,CLIC1,1192
O95870,ABHD16A,7920
P67870,CSNK2B,1460
O95873,C6orf47,57827
O95670,ATP6V1G2,534
Q9H8Y8,GORASP2,26003
Q6ZU52,KIAA0408,9729
Q9HCM9,TRIM39,56658
Q12933,TRAF2,7186
O94868,FCHSD2,9873
Q9BQY4,RHOXF2,84528
P43364,MAGEA11,4110
P19012,KRT15,3866
Q13137,CALCOCO2,10241
O60238,BNIP3L,665
Q15834,CCDC85B,11007
Q7L590,MCM10,55388
Q14533,KRT81,3887
P60709,ACTB,60
Q01844,EWSR1,2130
Q14134,TRIM29,23650
Q96AJ1,CLUAP1,23059
Q92997,DVL3,1857
Q9H213,MAGEH1,28986
Q15274,QPRT,23475
P32321,DCTD,1635
P08670,VIM,7431
Q8WV24,PHLDA1,22822
Q9P2K6,KLHL42,57542
Q9HAF1,MEAF6,64769
Q9NX65,ZSCAN32,54925
P98175,RBM10,8241
P57060,RWDD2B,10069
P49888,SULT1E1,6783
Q96HA1,POM121,9883
O15162,PLSCR1,5359
O96006,ZBED1,9189
O00214,LGALS8,3964
Q15038,DAZAP2,9802
P36406,TRIM23,373
P35520,CBS,875
Q9Y6E0,STK24,8428
Q15645,TRIP13,9319
P53567,CEBPG,1054
O14964,HGS,9146
Q9NWS9,ZNF446,55663
Q9BQD3,KXD1,79036
P18848,ATF4,468
P21673,SAT1,6303
P60660,MYL6,4637
Q9H4K1,RIBC2,26150
Q99750,MDFI,4188
P41743,PRKCI,5584
Q93062,RBPMS,11030
Q9HC98,NEK6,10783
P61981,YWHAG,7532
P32242,OTX1,5013
P51116,FXR2,9513
P46976,GYG1,2992
P21266,GSTM3,2947
Q93100,PHKB,5257
Q03426,MVK,4598
Q9NP66,HMG20A,10363
Q9UPT5,EXOC7,23265
P56597,NME5,8382
Q5TAQ9,DCAF8,50717
O94989,ARHGEF15,22899
P50995,ANXA11,311
Q9BXS5,AP1M1,8907
O43298,ZBTB43,23099
O95751,LDOC1,23641
O95471,CLDN7,1366
Q92934,BAD,572
P61978,HNRNPK,3190
P49639,HOXA1,3198
O95073|Q9Y620,RAD54B,25788
Q8N6Y0,USHBP1,83878
O14641,DVL2,1856
Q9NRF8,CTPS2,56474
Q13490,BIRC2,329
O75909,CCNK,8812
P24522,GADD45A,1647
P04259,KRT6B,3854
Q16630,CPSF6,11052
Q9NZ81,PRR13,54458
Q8WUB8,PHF10,55274
P62760,VSNL1,7447
Q9NRX4,PHPT1,29085
P43355,MAGEA1,4100
O60936,NOL3,8996
Q9NTM9,CUTC,51076
Q96E35,ZMYND19,116225
P37198,NUP62,23636
Q969U6,FBXW5,54461
Q8IXK0,PHC2,1912
Q9UH92,MLX,6945
O43663,PRC1,9055
Q9NRG1,PRTFDC1,56952
P15531,NME1,4830
P40426,PBX3,5090
O75928,PIAS2,9063
Q0VDD7,C19orf57,79173
Q53G59,KLHL12,59349
Q15019,SEPT2,4735
Q9UKG1,APPL1,26060
Q16526,CRY1,1407
P17509,HOXB6,3216
Q96HA8,WDYHV1,55093
P57052,RBM11,54033
O43638,FOXS1,2307
Q9BT49,THAP7,80764
P12236,SLC25A6,293
O00167,EYA2,2139
P08651,NFIC,4782
P15622,ZNF250,58500
P51946,CCNH,902
Q9UL45,BLOC1S6,26258
Q8NDC0,MAPK1IP1L,93487
Q9NVM9,ASUN,55726
Q9UNK0,STX8,9482
Q86YR5,GPSM1,26086
P52789,HK2,3099
O60568,PLOD3,8985
O75340,PDCD6,10016
O94972,TRIM37,4591
Q9UL46,PSME2,5721
Q13526,PIN1,5300
Q9BWD3,FAM127B,26071
O43739,CYTH3,9265
P49910,ZNF165,7718
Q9Y2I6,NINL,22981
Q8NHQ8,RASSF8,11228
P49789,FHIT,2272
Q9NR12,PDLIM7,9260
O95251,KAT7,11143
Q96G97,BSCL2,26580
Q15006,EMC2,9694
O14639,ABLIM1,3983
P25208,NFYB,4801
Q9UGJ1,TUBGCP4,27229
O43765,SGTA,6449
Q9NP50,FAM60A,58516
Q96EZ8,MCRS1,10445
P49366,DHPS,1725
Q9BRG1,VPS25,84313
Q9NS73,MBIP,51562
Q6UY14,ADAMTSL4,54507
Q3YEC7,RABL6,55684
O75525,KHDRBS3,10656
Q96MT8,CEP63,80254
P62308,SNRPG,6637
Q03154,ACY1,95
P49902,NT5C2,22978
P35900,KRT20,54474
Q16799,RTN1,6252
O95810,SDPR,8436
P07910,HNRNPC,3183
Q9H0M0,WWP1,11059
O00273,DFFA,1676
Q8TAP4,LMO3,55885
O75478,TADA2A,6871
Q96GM5,SMARCD1,6602
P31269,HOXA9,3205
P25786,PSMA1,5682
P78362,SRPK2,6733
Q14241,TCEB3,6924
O96015,DNAL4,10126
Q92609,TBC1D5,9779
Q13227,GPS2,2874
O95199,RCBTB2,1102
P63010,AP2B1,163
Q9H190,SDCBP2,27111
O43597,SPRY2,10253
P48380,RFX3,5991
Q13501,SQSTM1,8878
Q9Y6D9,MAD1L1,8379
Q99598,TSNAX,7257
P35638,DDIT3,1649
P55198,MLLT6,4302
P53992,SEC24C,9632
Q9UJY4,GGA2,23062
Q14596,NBR1,4077
P68402,PAFAH1B2,5049
P08727,KRT19,3880
P63261,ACTG1,71
O76083,PDE9A,5152
O00505,KPNA3,3839
Q14847,LASP1,3927
O76071,CIAO1,9391
P22234,PAICS,10606
Q13426,XRCC4,7518
P43378,PTPN9,5780
Q9H6L4,ARMC7,79637
Q02040,AKAP17A,8227
Q9NZD8,SPG21,51324
Q8WU10,PYROXD1,79912
Q5JR59,MTUS2,23281
Q9BPX1,HSD17B14,51171
O94993,SOX30,11063
Q13409,DYNC1I2,1781
Q9NZN8,CNOT2,4848
P50402,EMD,2010
Q8IYF3,TEX11,56159
O75528,TADA3,10474
P43358,MAGEA4,4103
Q9UBT2,UBA2,10054
P04899,GNAI2,2771
Q99259,GAD1,2571
O95671,ASMTL,8623
O60232,SSSCA1,10534
O75604,USP2,9099
P21964,COMT,1312
P49407,ARRB1,408
Q06455,RUNX1T1,862
Q9NX63,CHCHD3,54927
Q9H0E2,TOLLIP,54472
Q96QU6,ACCS,84680
O95990,FAM107A,11170
Q07955,SRSF1,6426
Q9P2K3,RCOR3,55758
Q9BUH8,BEGAIN,57596
Q8TC92,ENOX1,55068
P98170,XIAP,331
P48775,TDO2,6999
Q9Y2W2,WBP11,51729
P38159,RBMX,27316
P51668,UBE2D1,7321
Q05516,ZBTB16,7704
O43617,TRAPPC3,27095
Q9Y3Q8,TSC22D4,81628
Q14061,COX17,10063
P18206,VCL,7414
P13798,APEH,327
Q6ZVK8,NUDT18,79873
Q96T60,PNKP,11284
P23297,S100A1,6271
P67775,PPP2CA,5515
P28749,RBL1,5933
Q16851,UGP2,7360
Q13049,TRIM32,22954
Q01826,SATB1,6304
P26992,CNTFR,1271
O60269,GPRIN2,9721
Q8TBN0,RAB3IL1,5866
P04155,TFF1,7031
Q9Y577,TRIM17,51127
Q92530,PSMF1,9491
O95967,EFEMP2,30008
Q6P1W5,C1orf94,84970
Q969F0,FATE1,89885
O95544,NADK,65220
Q8N5Z5,KCTD17,79734
Q12906,ILF3,3609
P13805,TNNT1,7138
O75558,STX11,8676
P43686,PSMC4,5704
Q8N8B7,TCEANC,170082
Q01105,SET,6418
Q96BY2,MOAP1,64112
Q13191,CBLB,868
Q9P286,PAK7,57144
Q02080,MEF2BNB-MEF2B,4207
Q9NZQ3,NCKIPSD,51517
O76064,RNF8,9025
Q7Z5J4,RAI1,10743
Q96CW1,AP2M1,1173
Q92624,APPBP2,10513
P12814,ACTN1,87
Q96EK5,KIAA1279,26128
Q9UI36,DACH1,1602
O75427,LRCH4,4034
O60496,DOK2,9046
P14373,TRIM27,5987
O60711,LPXN,9404
Q9BQ66,KRTAP4-12,83755
P36575,ARR3,407
A8K8P3,SFI1,9814
P14136,GFAP,2670
P50542,PEX5,5830
O43395,PRPF3,9129
P54652,HSPA2,3306
O14764,GABRD,2563
P84243,H3F3B,3021
P50479,PDLIM4,8572
O75150,RNF40,9810
Q96ME1,FBXL18,80028
Q9NTK1,C10orf10,11067
Q99877,HIST1H2BN,8341
Q96GA7,SDSL,113675
Q9UMX1,SUFU,51684
Q9UI14,RABAC1,10567
Q15154,PCM1,5108
Q8TBE0,BAHD1,22893
O14978,ZNF263,10127
Q96ED9,HOOK2,29911
P33316,DUT,1854
Q7Z6G3,NECAB2,54550
O76003,GLRX3,10539
P15407,FOSL1,8061
Q9P1W9,PIM2,11040
P61289,PSME3,10197
P40692,MLH1,4292
Q9Y6C2,EMILIN1,11117
Q9NNW5,WDR6,11180
Q15427,SF3B4,10262
Q14088,RAB33A,9363
Q8NEM2,SHCBP1,79801
Q86U70,LDB1,8861
O75344,FKBP6,8468
Q9UM19,HPCAL4,51440
O14777,NDC80,10403
P49247,RPIA,22934
P62333,PSMC6,5706
P14174,MIF,4282
O95379,TNFAIP8,25816
Q96KQ7,EHMT2,10919
Q14919,DRAP1,10589
P10124,SRGN,5552
Q96QU8,XPO6,23214
Q9UBQ5,EIF3K,27335
Q12846,STX4,6810
Q9UBL3,ASH2L,9070
O15287,FANCG,2189
P26368,U2AF2,11338
Q8IYF1,TCEB3B,51224
Q99418,CYTH2,9266
P38936,CDKN1A,1026
Q9UQB8,BAIAP2,10458
P09914,IFIT1,3434
P02538,KRT6A,3853
P29972,AQP1,358
Q07352,ZFP36L1,677
Q9BVJ6,UTP14A,10813
Q9NP79,VTA1,51534
Q15046,KARS,3735
Q13247,SRSF6,6431
P45984,MAPK9,5601
Q9NPC3,CCNB1IP1,57820
P17482,HOXB9,3219
Q9C0A6,SETD5,55209
Q9H4E7,DEF6,50619
Q9P2Z0,THAP10,56906
Q9Y3C0,CCDC53,51019
Q14749,GNMT,27232
-,IGHM,3507
Q14653,IRF3,3661
P0CG48,UBC,7316
Q96BS2,TESC,54997
Q16665,HIF1A,3091
Q9P0T4,ZNF581,51545
Q9NR22,PRMT8,56341
O43189,PHF1,5252
O60504,SORBS3,10174
P49761,CLK3,1198
O15015,ZNF646,9726
Q06547,GABPB1,2553
Q9NWT6,HIF1AN,55662
P10451,SPP1,6696
Q6RW13,AGTRAP,57085
Q07869,PPARA,5465
Q13069,GAGE5,2577
P48059,LIMS1,3987
O43809,NUDT21,11051
Q9NXR7,BRE,9577
Q13432,UNC119,9094
Q99961,SH3GL1,6455
P47804,RGR,5995
P17040,ZSCAN20,7579
P11802,CDK4,1019
Q9BVK8,TMEM147,10430
P46379,BAG6,7917
P60953,CDC42,998
O43791,SPOP,8405
Q8WYJ6,SEPT1,1731
Q8N5F7,NKAP,79576
P84101,SERF2,10169
Q8N5H7,SH2D3C,10044
P10074,ZBTB48,3104
Q15637,SF1,7536
Q8N7W2,BEND7,222389
P26641,EEF1G,1937
Q92841,DDX17,10521
Q8N5I3,KCNRG,283518
O43251,RBFOX2,23543
P55064,AQP5,362
P49321,NASP,4678
O43889,CREB3,10488
Q9Y467,SALL2,6297
Q15078,CDK5R1,8851
P09913,IFIT2,3433
Q49AR2,C5orf22,55322
P14923,JUP,3728
Q07002,CDK18,5129
Q96CN9,GCC1,79571
Q9UK33,ZNF580,51157
Q96D15,RCN3,57333
Q8NE01,CNNM3,26505
P14868,DARS,1615
Q969X0,RILPL2,196383
Q15102,PAFAH1B3,5050
P53816,PLA2G16,11145
P50552,VASP,7408
